Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Albania,ALB,Human capital (constant 2018 US$),NW.HCA.TO,44900000000.00000000,43400000000.00000000,37100000000.00000000,38800000000.00000000,42200000000.00000000,43600000000.00000000,47600000000.00000000,48500000000.00000000,52100000000.00000000,52300000000.00000000,54400000000.00000000,56900000000.00000000,59400000000.00000000,63400000000.00000000,66100000000.00000000,68100000000.00000000,68500000000.00000000,70800000000.00000000,71600000000.00000000,72500000000.00000000,73700000000.00000000,75700000000.00000000,78000000000.00000000,81200000000.00000000
Albania,ALB,Human capital per capita (constant 2018 US$),NW.HCA.PC,14072.79000000,13708.99000000,11794.10000000,12399.48000000,13573.26000000,14118.13000000,15564.46000000,15906.19000000,17132.03000000,17262.12000000,18072.30000000,19001.13000000,19999.08000000,21523.57000000,22582.00000000,23362.86000000,23590.58000000,24393.97000000,24731.62000000,25090.02000000,25593.71000000,26326.26000000,27160.86000000,28333.68000000
Albania,ALB,"Human capital per capita, employed female (constant 2018 US$)",NW.HCA.FEMP.PC,3468.85800000,3355.54900000,2868.99700000,3013.39100000,3259.89300000,3424.00700000,3783.82100000,3906.69900000,2016.02000000,2086.84600000,2222.11500000,2323.01300000,2465.24700000,2664.12600000,2825.33600000,2889.15000000,2848.52300000,2930.23400000,2954.27300000,2957.42000000,2987.54500000,3072.50400000,3178.41700000,3312.92700000
Albania,ALB,"Human capital per capita, employed male (constant 2018 US$)",NW.HCA.MEMP.PC,6507.93100000,6353.73700000,5466.69200000,5901.07200000,6492.73000000,6872.01900000,7607.77100000,7820.39300000,10641.06000000,10969.67000000,11689.35000000,12268.48000000,13086.02000000,14232.03000000,15253.19000000,15789.92000000,15798.54000000,16473.60000000,16810.13000000,16991.38000000,17307.01000000,17817.10000000,18445.94000000,19245.19000000
Albania,ALB,"Human capital per capita, female (constant 2018 US$)",NW.HCA.FEMA.PC,4893.00600000,4737.85700000,4059.32100000,4191.44500000,4536.97200000,4695.07100000,5169.87600000,5298.90100000,2728.79000000,2759.03500000,2886.73600000,3025.04200000,3170.33200000,3393.76100000,3529.14400000,3613.60600000,3603.69400000,3683.81000000,3696.74400000,3719.60800000,3767.62800000,3872.14200000,3992.18800000,4161.13700000
Albania,ALB,"Human capital per capita, male (constant 2018 US$)",NW.HCA.MALE.PC,9179.78000000,8971.13800000,7734.77700000,8208.03600000,9036.29000000,9423.05700000,10394.58000000,10607.29000000,14403.24000000,14503.08000000,15185.56000000,15976.09000000,16828.75000000,18129.81000000,19052.86000000,19749.26000000,19986.89000000,20710.16000000,21034.87000000,21370.41000000,21826.08000000,22454.12000000,23168.67000000,24172.54000000
Albania,ALB,"Human capital per capita, self-employed female (constant 2018 US$)",NW.HCA.FSEM.PC,1424.14900000,1382.30800000,1190.32300000,1178.05400000,1277.07900000,1271.06300000,1386.05600000,1392.20100000,712.76990000,672.18960000,664.62050000,702.02910000,705.08440000,729.63500000,703.80890000,724.45660000,755.17090000,753.57520000,742.47080000,762.18760000,780.08340000,799.63820000,813.77160000,848.21040000
Albania,ALB,"Human capital per capita, self-employed male (constant 2018 US$)",NW.HCA.MSEM.PC,2671.84800000,2617.40100000,2268.08500000,2306.96400000,2543.55900000,2551.03800000,2786.81100000,2786.89500000,3762.18000000,3533.41700000,3496.21000000,3707.61100000,3742.72800000,3897.78300000,3799.66600000,3959.33500000,4188.34600000,4236.55500000,4224.73900000,4379.02600000,4519.06700000,4637.01200000,4722.72400000,4927.35500000
Albania,ALB,"Human capital, employed female (constant 2018 US$)",NW.HCA.FEMP.TO,11100000000.00000000,10600000000.00000000,9030000000.00000000,9430000000.00000000,10100000000.00000000,10600000000.00000000,11600000000.00000000,11900000000.00000000,6130000000.00000000,6320000000.00000000,6690000000.00000000,6950000000.00000000,7320000000.00000000,7850000000.00000000,8270000000.00000000,8420000000.00000000,8280000000.00000000,8500000000.00000000,8550000000.00000000,8540000000.00000000,8610000000.00000000,8840000000.00000000,9130000000.00000000,9500000000.00000000
Albania,ALB,"Human capital, employed male (constant 2018 US$)",NW.HCA.MEMP.TO,20700000000.00000000,20100000000.00000000,17200000000.00000000,18500000000.00000000,20200000000.00000000,21200000000.00000000,23300000000.00000000,23900000000.00000000,32300000000.00000000,33200000000.00000000,35200000000.00000000,36700000000.00000000,38900000000.00000000,41900000000.00000000,44700000000.00000000,46000000000.00000000,45900000000.00000000,47800000000.00000000,48700000000.00000000,49100000000.00000000,49900000000.00000000,51200000000.00000000,53000000000.00000000,55200000000.00000000
Albania,ALB,"Human capital, female (constant 2018 US$)",NW.HCA.FEMA.TO,15600000000.00000000,15000000000.00000000,12800000000.00000000,13100000000.00000000,14100000000.00000000,14500000000.00000000,15800000000.00000000,16200000000.00000000,8290000000.00000000,8350000000.00000000,8690000000.00000000,9050000000.00000000,9420000000.00000000,10000000000.00000000,10300000000.00000000,10500000000.00000000,10500000000.00000000,10700000000.00000000,10700000000.00000000,10700000000.00000000,10900000000.00000000,11100000000.00000000,11500000000.00000000,11900000000.00000000
Albania,ALB,"Human capital, male (constant 2018 US$)",NW.HCA.MALE.TO,29300000000.00000000,28400000000.00000000,24400000000.00000000,25700000000.00000000,28100000000.00000000,29100000000.00000000,31800000000.00000000,32400000000.00000000,43800000000.00000000,43900000000.00000000,45700000000.00000000,47800000000.00000000,50000000000.00000000,53400000000.00000000,55800000000.00000000,57500000000.00000000,58100000000.00000000,60100000000.00000000,60900000000.00000000,61700000000.00000000,62900000000.00000000,64600000000.00000000,66600000000.00000000,69300000000.00000000
Albania,ALB,"Human capital, self-employed female (constant 2018 US$)",NW.HCA.FSEM.TO,4540000000.00000000,4380000000.00000000,3750000000.00000000,3690000000.00000000,3970000000.00000000,3930000000.00000000,4240000000.00000000,4250000000.00000000,2170000000.00000000,2030000000.00000000,2000000000.00000000,2100000000.00000000,2090000000.00000000,2150000000.00000000,2060000000.00000000,2110000000.00000000,2190000000.00000000,2190000000.00000000,2150000000.00000000,2200000000.00000000,2250000000.00000000,2300000000.00000000,2340000000.00000000,2430000000.00000000
Albania,ALB,"Human capital, self-employed male (constant 2018 US$)",NW.HCA.MSEM.TO,8520000000.00000000,8290000000.00000000,7140000000.00000000,7220000000.00000000,7910000000.00000000,7880000000.00000000,8530000000.00000000,8500000000.00000000,11400000000.00000000,10700000000.00000000,10500000000.00000000,11100000000.00000000,11100000000.00000000,11500000000.00000000,11100000000.00000000,11500000000.00000000,12200000000.00000000,12300000000.00000000,12200000000.00000000,12700000000.00000000,13000000000.00000000,13300000000.00000000,13600000000.00000000,14100000000.00000000
Albania,ALB,Natural capital (constant 2018 US$),NW.NCA.TO,21400000000.00000000,20300000000.00000000,17400000000.00000000,14900000000.00000000,15000000000.00000000,15200000000.00000000,15500000000.00000000,15600000000.00000000,15800000000.00000000,15900000000.00000000,15700000000.00000000,15700000000.00000000,16600000000.00000000,16600000000.00000000,17000000000.00000000,17300000000.00000000,18500000000.00000000,19800000000.00000000,21300000000.00000000,22600000000.00000000,25200000000.00000000,27200000000.00000000,26700000000.00000000,25900000000.00000000
Albania,ALB,Natural capital per capita (constant 2018 US$),NW.NCA.PC,6714.65000000,6421.29900000,5512.02500000,4766.96600000,4826.64300000,4930.37400000,5074.71800000,5112.98700000,5198.34100000,5239.26900000,5221.29600000,5243.21200000,5603.85600000,5639.89500000,5805.12700000,5955.45800000,6382.95900000,6821.13500000,7363.19900000,7816.24400000,8758.22700000,9462.32100000,9275.87000000,9034.91800000
Albania,ALB,"Natural capital per capita, agricultural land (constant 2018 US$)",NW.NCA.AGRI.PC,4493.15300000,4636.04500000,4320.38200000,3678.39400000,3722.62800000,3723.06100000,3887.13000000,3929.37700000,3945.78800000,3885.89900000,3816.29700000,3762.55800000,3720.07200000,3603.86300000,3676.81300000,3765.43300000,3919.11200000,4146.03700000,4524.48200000,4717.22500000,4876.61800000,4924.09200000,4948.79600000,4800.54900000
Albania,ALB,"Natural capital per capita, agricultural land: cropland (constant 2018 US$)",NW.NCA.CROL.PC,2162.77800000,2188.45000000,1985.02600000,1557.57500000,1545.68900000,1487.09200000,1475.10800000,1403.66800000,1335.90500000,1295.29500000,1268.67400000,1274.77100000,1300.96400000,1297.82400000,1349.66200000,1419.13500000,1505.70400000,1606.75500000,1858.59200000,2042.14600000,2157.08200000,2262.01000000,2405.10000000,2339.28900000
Albania,ALB,"Natural capital per capita, agricultural land: pastureland (constant 2018 US$)",NW.NCA.PASL.PC,2330.37500000,2447.59500000,2335.35600000,2120.81900000,2176.93900000,2235.96800000,2412.02200000,2525.70900000,2609.88200000,2590.60400000,2547.62300000,2487.78600000,2419.10800000,2306.03900000,2327.15100000,2346.29800000,2413.40800000,2539.28200000,2665.89000000,2675.07900000,2719.53600000,2662.08200000,2543.69600000,2461.26000000
Albania,ALB,"Natural capital per capita, fisheries (constant 2018 US$)",NW.NCA.FISH.PC,4.28993000,9.67519700,3.38929100,6.46202500,9.03497700,13.73903000,9.70257500,13.86063000,8.92758000,14.33324000,12.24451000,5.65177900,0.05543500,0.00000000,0.00000000,1.16491500,0.00000000,0.00000000,10.44756000,0.00000000,2.17904200,2.11719800,2.23472300,2.13847700
Albania,ALB,"Natural capital per capita, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.PC,555.60890000,564.04220000,536.44870000,554.09560000,639.65290000,723.55920000,747.88280000,758.32570000,764.01790000,794.09410000,817.64450000,751.33990000,834.11710000,876.47690000,966.78400000,931.07020000,925.22520000,899.59270000,905.64920000,942.81360000,964.40090000,1018.70300000,1053.39700000,1059.90400000
Albania,ALB,"Natural capital per capita, forests: timber (constant 2018 US$)",NW.NCA.FTIM.PC,735.10530000,501.87310000,99.56751000,76.38567000,67.19762000,65.69260000,59.91050000,51.38651000,48.94636000,48.29533000,41.14785000,42.40484000,47.04760000,51.80665000,58.92900000,65.27044000,101.32240000,127.70890000,150.74080000,173.97540000,204.64290000,197.71920000,200.83750000,210.33670000
Albania,ALB,"Natural capital per capita, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.PC,863.91650000,669.06220000,501.43640000,416.62220000,352.20040000,374.01080000,353.21910000,340.03340000,407.73830000,465.51420000,495.29590000,603.90530000,698.54970000,815.31460000,827.39600000,900.02320000,1111.86200000,1406.65500000,1492.95200000,1666.68000000,1762.90900000,1722.37000000,1398.45600000,1279.91600000
Albania,ALB,"Natural capital per capita, mangroves (constant 2018 US$)",NW.NCA.MANG.PC,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Albania,ALB,"Natural capital per capita, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.PC,918.31370000,700.26050000,519.05960000,423.66540000,358.50200000,374.01080000,353.21910000,340.03340000,407.73830000,471.27020000,505.66150000,649.34760000,963.12460000,1028.15900000,1012.80600000,1090.83900000,1321.71100000,1516.22700000,1610.24700000,1794.10600000,1880.41600000,1803.47100000,1411.22200000,1349.98400000
Albania,ALB,"Natural capital per capita, nonrenewable assets: coal (constant 2018 US$)",NW.NCA.SACO.PC,18.98778000,4.99236700,0.67581600,0.59404000,0.49970300,0.32862900,0.36546600,0.38073400,0.46783500,1.54356300,1.99027300,2.29994500,2.96841800,5.45862600,4.49947000,4.23778700,3.90192200,3.26533200,0.61729500,0.49127800,1.61178900,1.54534100,5.34801100,14.04399000
Albania,ALB,"Natural capital per capita, nonrenewable assets: gas (constant 2018 US$)",NW.NCA.SAGA.PC,34.08739000,19.52930000,8.18371600,6.23587500,5.06088000,6.29581800,7.05636500,9.25128900,10.12250000,12.07846000,11.70334000,9.96782800,11.55043000,11.29976000,13.45416000,17.31948000,15.17470000,16.15854000,14.48638000,11.38438000,14.05818000,13.04520000,11.25673000,10.60054000
Albania,ALB,"Natural capital per capita, nonrenewable assets: minerals (constant 2018 US$)",NW.NCA.MINR.PC,54.39720000,31.19824000,17.62320000,7.04325600,6.30153500,0.00000000,0.00000000,0.00000000,0.00000000,5.75603100,10.36565000,45.44228000,264.57490000,212.84470000,185.40960000,190.81620000,209.84860000,109.57190000,117.29460000,127.42610000,117.50670000,81.10048000,12.76609000,70.06743000
Albania,ALB,"Natural capital per capita, nonrenewable assets: oil (constant 2018 US$)",NW.NCA.SAOI.PC,810.84140000,644.54060000,492.57690000,409.79230000,346.63990000,367.38630000,345.79720000,330.40140000,397.14800000,451.89220000,481.60220000,591.63760000,684.03090000,798.55630000,809.44230000,878.46600000,1092.78600000,1387.23100000,1477.84800000,1654.80400000,1747.23900000,1707.78000000,1381.85200000,1255.27200000
Albania,ALB,"Natural capital per capita, protected areas (constant 2018 US$)",NW.NCA.PRAR.PC,8.17897000,9.40328100,33.17773000,27.96326000,29.62814000,30.31200000,16.87360000,20.00369000,22.92336000,25.37789000,28.29990000,31.91014000,39.43931000,79.58994000,89.79522000,101.68020000,115.58870000,131.56920000,161.63320000,188.12390000,829.97010000,1516.21900000,1659.38300000,1612.00600000
Albania,ALB,"Natural capital per capita, renewable (constant 2018 US$)",NW.NCA.RNEW.PC,5796.33600000,5721.03900000,4992.96500000,4343.30100000,4468.14100000,4556.36300000,4721.49900000,4772.95300000,4790.60300000,4767.99900000,4715.63400000,4593.86400000,4640.73100000,4611.73600000,4792.32100000,4864.61900000,5061.24800000,5304.90800000,5752.95200000,6022.13800000,6877.81100000,7658.85000000,7864.64800000,7684.93400000
Albania,ALB,"Natural capital, agricultural land (constant 2018 US$)",NW.NCA.AGRI.TO,14300000000.00000000,14700000000.00000000,13600000000.00000000,11500000000.00000000,11600000000.00000000,11500000000.00000000,11900000000.00000000,12000000000.00000000,12000000000.00000000,11800000000.00000000,11500000000.00000000,11300000000.00000000,11000000000.00000000,10600000000.00000000,10800000000.00000000,11000000000.00000000,11400000000.00000000,12000000000.00000000,13100000000.00000000,13600000000.00000000,14000000000.00000000,14200000000.00000000,14200000000.00000000,13800000000.00000000
Albania,ALB,"Natural capital, agricultural land: cropland (constant 2018 US$)",NW.NCA.CROL.TO,6890000000.00000000,6930000000.00000000,6250000000.00000000,4870000000.00000000,4810000000.00000000,4590000000.00000000,4510000000.00000000,4280000000.00000000,4060000000.00000000,3920000000.00000000,3820000000.00000000,3810000000.00000000,3860000000.00000000,3830000000.00000000,3950000000.00000000,4130000000.00000000,4370000000.00000000,4660000000.00000000,5380000000.00000000,5900000000.00000000,6210000000.00000000,6510000000.00000000,6910000000.00000000,6710000000.00000000
Albania,ALB,"Natural capital, agricultural land: pastureland (constant 2018 US$)",NW.NCA.PASL.TO,7430000000.00000000,7750000000.00000000,7350000000.00000000,6640000000.00000000,6770000000.00000000,6910000000.00000000,7380000000.00000000,7710000000.00000000,7930000000.00000000,7840000000.00000000,7670000000.00000000,7440000000.00000000,7180000000.00000000,6800000000.00000000,6810000000.00000000,6830000000.00000000,7010000000.00000000,7360000000.00000000,7720000000.00000000,7730000000.00000000,7830000000.00000000,7660000000.00000000,7310000000.00000000,7050000000.00000000
Albania,ALB,"Natural capital, fisheries (constant 2018 US$)",NW.NCA.FISH.TO,13675370.00000000,30651342.00000000,10670441.00000000,20216641.00000000,28087737.00000000,42440242.00000000,29691559.00000000,42288932.00000000,27136416.00000000,43385849.00000000,36874189.00000000,16913215.00000000,164642.80000000,0.00000000,0.00000000,3393421.00000000,0.00000000,0.00000000,30246647.00000000,0.00000000,6277172.00000000,6089275.00000000,6421381.00000000,6129679.00000000
Albania,ALB,"Natural capital, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.TO,1770000000.00000000,1790000000.00000000,1690000000.00000000,1730000000.00000000,1990000000.00000000,2240000000.00000000,2290000000.00000000,2310000000.00000000,2320000000.00000000,2400000000.00000000,2460000000.00000000,2250000000.00000000,2480000000.00000000,2580000000.00000000,2830000000.00000000,2710000000.00000000,2690000000.00000000,2610000000.00000000,2620000000.00000000,2720000000.00000000,2780000000.00000000,2930000000.00000000,3030000000.00000000,3040000000.00000000
Albania,ALB,"Natural capital, forests: timber (constant 2018 US$)",NW.NCA.FTIM.TO,2340000000.00000000,1590000000.00000000,313000000.00000000,239000000.00000000,209000000.00000000,203000000.00000000,183000000.00000000,157000000.00000000,149000000.00000000,146000000.00000000,124000000.00000000,127000000.00000000,140000000.00000000,153000000.00000000,173000000.00000000,190000000.00000000,294000000.00000000,370000000.00000000,436000000.00000000,503000000.00000000,590000000.00000000,569000000.00000000,577000000.00000000,603000000.00000000
Albania,ALB,"Natural capital, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.TO,2750000000.00000000,2120000000.00000000,1580000000.00000000,1300000000.00000000,1090000000.00000000,1160000000.00000000,1080000000.00000000,1040000000.00000000,1240000000.00000000,1410000000.00000000,1490000000.00000000,1810000000.00000000,2070000000.00000000,2400000000.00000000,2420000000.00000000,2620000000.00000000,3230000000.00000000,4080000000.00000000,4320000000.00000000,4820000000.00000000,5080000000.00000000,4950000000.00000000,4020000000.00000000,3670000000.00000000
Albania,ALB,"Natural capital, mangroves (constant 2018 US$)",NW.NCA.MANG.TO,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Albania,ALB,"Natural capital, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.TO,2930000000.00000000,2220000000.00000000,1630000000.00000000,1330000000.00000000,1110000000.00000000,1160000000.00000000,1080000000.00000000,1040000000.00000000,1240000000.00000000,1430000000.00000000,1520000000.00000000,1940000000.00000000,2860000000.00000000,3030000000.00000000,2970000000.00000000,3180000000.00000000,3840000000.00000000,4400000000.00000000,4660000000.00000000,5180000000.00000000,5420000000.00000000,5190000000.00000000,4060000000.00000000,3870000000.00000000
Albania,ALB,"Natural capital, nonrenewable assets: coal (constant 2018 US$)",NW.NCA.SACO.TO,60528949.00000000,15815983.00000000,2127660.00000000,1858472.00000000,1553467.00000000,1015142.00000000,1118390.00000000,1161623.00000000,1422039.00000000,4672271.00000000,5993681.00000000,6882694.00000000,8816251.00000000,16088285.00000000,13172284.00000000,12344762.00000000,11335843.00000000,9470772.00000000,1787127.00000000,1419353.00000000,4643085.00000000,4444556.00000000,15367281.00000000,40255346.00000000
Albania,ALB,"Natural capital, nonrenewable assets: gas (constant 2018 US$)",NW.NCA.SAGA.TO,109000000.00000000,61869463.00000000,25764636.00000000,19509122.00000000,15733152.00000000,19447953.00000000,21593698.00000000,28225777.00000000,30768508.00000000,36560751.00000000,35244453.00000000,29829194.00000000,34304963.00000000,33303947.00000000,39387299.00000000,50452004.00000000,44085463.00000000,46866241.00000000,41939410.00000000,32890664.00000000,40497436.00000000,37519301.00000000,32345722.00000000,30385119.00000000
Albania,ALB,"Natural capital, nonrenewable assets: minerals (constant 2018 US$)",NW.NCA.MINR.TO,173000000.00000000,98837051.00000000,55482784.00000000,22035037.00000000,19590074.00000000,0.00000000,0.00000000,0.00000000,0.00000000,17423156.00000000,31216029.00000000,136000000.00000000,786000000.00000000,627000000.00000000,543000000.00000000,556000000.00000000,610000000.00000000,318000000.00000000,340000000.00000000,368000000.00000000,339000000.00000000,233000000.00000000,36682809.00000000,201000000.00000000
